admin_code,quarters_observed,positive_gap_quarters,negative_gap_quarters,mean_gap_z,mean_gap_ratio,gap_type,dong_name,sggnm,minimum_period_ratio,mean_period_ratio,sales_amount,floating_population,store_count,data_quality_warning,공부,생활서비스,쇼핑,식사,여가문화,카페,top_3_industries
11740690,4,4,0,4.2688442085632,5.079006626807646,목적소비형,둔촌1동,강동구,0.5419161676646707,0.5568862275449101,26521528966,29398,176,하위 5% 규모: 잔차 과장 가능,0.0629745498889274,0.43485091160411343,0.27896702269634904,0.18374811204314184,0.022411259274002747,0.01704814449346555,일반의원 · 의약품 · 슈퍼마켓
11170625,4,4,0,2.8473135436439296,2.751415739561605,목적소비형,한강로동,용산구,0.5808383233532934,0.6477045908183633,680873040637,5774895,4886,,0.008465840052364624,0.015087760361886405,0.8727889725109889,0.09118007478739104,0.005127720765289285,0.007349631522079777,컴퓨터및주변장치판매 · 가전제품 · 한식음식점
11230545,4,4,0,1.9599058644145382,2.00077614788196,목적소비형,제기동,동대문구,0.997005988023952,0.999001996007984,979603471695,11953847,3054,,0.005489249352797538,0.026174854894739828,0.9127732533959372,0.05313564357722731,0.002015189699750914,0.0004118090795472413,청과상 · 반찬가게 · 미곡판매
11140605,4,2,0,1.5241649084425684,1.7666877321004666,일반형,을지로동,중구,0.9461077844311376,0.9570858283433132,240592120952,4848076,2850,,0.15421382557827928,0.04303210048622307,0.502900153601203,0.23834461117469655,0.03832563136113518,0.02318367779846297,조명용품 · 한식음식점 · 문구
11110630,4,3,0,1.4561134396760087,1.743392890370566,목적소비형,종로5·6가동,종로구,0.9491017964071856,0.9620758483033932,116643826107,5436250,1873,,0.014830684055349118,0.39092755623577324,0.33262816412939666,0.21023672390945639,0.029346473330358072,0.022030398339666492,의약품 · 한식음식점 · 일반의류
11710690,4,2,0,1.3870208460092295,1.6979114603139536,일반형,잠실4동,송파구,0.7065868263473054,0.7345309381237525,13455125434,2039053,322,하위 5% 규모: 잔차 과장 가능,0.04304866683266626,0.6339721540941526,0.2445763049287081,0.018042009209856318,0.05225947854957767,0.008101386385039032,일반의원 · 의약품 · 편의점
11110615,4,3,0,1.2683189588109673,1.569995578406818,목적소비형,종로1·2·3·4가동,종로구,0.94311377245509,0.9610778443113772,590990167722,13824388,9877,,0.02268132347390491,0.09444779807615426,0.48696921232601187,0.2868983358311263,0.0682491776732456,0.04075415261955704,시계및귀금속 · 한식음식점 · 조명용품
11350611,4,2,0,1.239557363847257,1.5834523123607156,일반형,하계1동,노원구,0.9191616766467066,0.9271457085828344,56170368431,3642081,705,,0.07225450342177407,0.08608669296766287,0.7044124898095419,0.10796185003574202,0.02034729005568057,0.008937173709598593,일반의류 · 한식음식점 · 일반교습학원
11140625,4,2,0,1.1145537388571882,1.5027178713922564,일반형,다산동,중구,0.934131736526946,0.9451097804391216,43971161618,4052419,809,,0.007918996432822418,0.3557920466580474,0.31194158178402664,0.2608898996724249,0.05756389787901009,0.005893577573668547,일반의류 · 의약품 · 한식음식점
11350625,4,2,0,1.1129042027069707,1.4960814766402963,일반형,중계2·3동,노원구,0.874251497005988,0.8862275449101796,58263034360,4456423,1019,,0.016599004765600747,0.2003171219316494,0.5989016195310979,0.1432783963914371,0.021809255353036853,0.019094602027178043,일반의류 · 일반의원 · 컴퓨터및주변장치판매
