area_code,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,access_tier,in_50pct,in_80pct,first_dropped_at,top10_purposes_at_25pct,study_top10_at_25pct
3110566,경의선책거리,골목상권,서교동,마포구,0.3383233532934132,0.2514970059880239,0.2994011976047904,0.2514970059880239,exploration_25pct_all_periods,False,False,50pct,카페,False
3110832,노량진초등학교,골목상권,노량진1동,동작구,0.3263473053892216,0.2514970059880239,0.311377245508982,0.2514970059880239,exploration_25pct_all_periods,False,False,50pct,,False
3120102,서교동(홍대),발달상권,서교동,마포구,0.3233532934131736,0.2514970059880239,0.3053892215568862,0.2514970059880239,exploration_25pct_all_periods,False,False,50pct,카페,False
3120153,노량진역(노량진),발달상권,노량진1동,동작구,0.3263473053892216,0.2544910179640718,0.3083832335329341,0.2544910179640718,exploration_25pct_all_periods,False,False,50pct,,False
3111022,석촌중학교(방이육교),골목상권,가락본동,송파구,0.2604790419161676,0.2724550898203592,0.278443113772455,0.2604790419161676,exploration_25pct_all_periods,False,False,50pct,,False
3111029,오금역 4번,골목상권,가락2동,송파구,0.2604790419161676,0.2724550898203592,0.278443113772455,0.2604790419161676,exploration_25pct_all_periods,False,False,50pct,,False
3111035,오금공원(오주중학교),골목상권,오금동,송파구,0.2604790419161676,0.2724550898203592,0.278443113772455,0.2604790419161676,exploration_25pct_all_periods,False,False,50pct,,False
3120103,홍대입구역(홍대),발달상권,서교동,마포구,0.3413173652694611,0.2604790419161676,0.3173652694610778,0.2604790419161676,exploration_25pct_all_periods,False,False,50pct,,False
3120230,송파사거리(송파역),발달상권,석촌동,송파구,0.2694610778443114,0.2604790419161676,0.2754491017964072,0.2604790419161676,exploration_25pct_all_periods,False,False,50pct,,False
3120239,오금역,발달상권,가락본동,송파구,0.2604790419161676,0.2724550898203592,0.278443113772455,0.2604790419161676,exploration_25pct_all_periods,False,False,50pct,,False
3110971,선정릉역 4번,골목상권,역삼1동,강남구,0.3023952095808383,0.2664670658682634,0.2994011976047904,0.2664670658682634,exploration_25pct_all_periods,False,False,50pct,,False
3120232,송파나루역,발달상권,송파1동,송파구,0.2844311377245509,0.2664670658682634,0.281437125748503,0.2664670658682634,exploration_25pct_all_periods,False,False,50pct,,False
3110514,서대문우체국,골목상권,신촌동,서대문구,0.344311377245509,0.2694610778443114,0.3143712574850299,0.2694610778443114,exploration_25pct_all_periods,False,False,50pct,,False
